difficulty,frontendQuestionId,title,category,acceptance_rate,topics
Medium,45,Jump Game II,Algorithms,41.36600598,"['Array', 'Dynamic Programming', 'Greedy']"
Medium,46,Permutations,Algorithms,80.50343814,"['Array', 'Backtracking']"
Medium,47,Permutations II,Algorithms,61.40725137,"['Array', 'Backtracking', 'Sorting']"
Medium,48,Rotate Image,Algorithms,77.64814723,"['Array', 'Math', 'Matrix']"
Medium,49,Group Anagrams,Algorithms,70.74386047,"['Array', 'Hash Table', 'String', 'Sorting']"
Medium,50,"Pow(x, n)",Algorithms,36.87246878,"['Math', 'Recursion']"
Hard,51,N-Queens,Algorithms,72.40869047,"['Array', 'Backtracking']"
Hard,52,N-Queens II,Algorithms,76.50912105,['Backtracking']
Medium,53,Maximum Subarray,Algorithms,51.98742459,"['Array', 'Divide and Conquer', 'Dynamic Programming']"
Medium,54,Spiral Matrix,Algorithms,53.61208262,"['Array', 'Matrix', 'Simulation']"
Medium,55,Jump Game,Algorithms,39.34269964,"['Array', 'Dynamic Programming', 'Greedy']"
Medium,56,Merge Intervals,Algorithms,49.21381211,"['Array', 'Sorting']"
Medium,57,Insert Interval,Algorithms,43.29028139,['Array']
Easy,58,Length of Last Word,Algorithms,56.06293612,['String']
Medium,59,Spiral Matrix II,Algorithms,73.2952392,"['Array', 'Matrix', 'Simulation']"
Hard,60,Permutation Sequence,Algorithms,49.69660875,"['Math', 'Recursion']"
Medium,61,Rotate List,Algorithms,39.78052654,"['Linked List', 'Two Pointers']"
Medium,62,Unique Paths,Algorithms,65.65148,"['Math', 'Dynamic Programming', 'Combinatorics']"
Medium,63,Unique Paths II,Algorithms,43.01597866,"['Array', 'Dynamic Programming', 'Matrix']"
Medium,64,Minimum Path Sum,Algorithms,66.26856022,"['Array', 'Dynamic Programming', 'Matrix']"
Hard,65,Valid Number,Algorithms,21.42665373,['String']
Easy,66,Plus One,Algorithms,47.40197753,"['Array', 'Math']"
Easy,67,Add Binary,Algorithms,55.54233034,"['Math', 'String', 'Bit Manipulation', 'Simulation']"
Hard,68,Text Justification,Algorithms,47.84849041,"['Array', 'String', 'Simulation']"
Easy,69,Sqrt(x),Algorithms,40.27495566,"['Math', 'Binary Search']"
Easy,70,Climbing Stairs,Algorithms,53.48226047,"['Math', 'Dynamic Programming', 'Memoization']"
Medium,71,Simplify Path,Algorithms,47.48451341,"['String', 'Stack']"
Medium,72,Edit Distance,Algorithms,58.59239066,"['String', 'Dynamic Programming']"
Medium,73,Set Matrix Zeroes,Algorithms,59.53583267,"['Array', 'Hash Table', 'Matrix']"
Medium,74,Search a 2D Matrix,Algorithms,52.10603926,"['Array', 'Binary Search', 'Matrix']"
Medium,75,Sort Colors,Algorithms,67.03235482,"['Array', 'Two Pointers', 'Sorting']"
Hard,76,Minimum Window Substring,Algorithms,45.12248942,"['Hash Table', 'String', 'Sliding Window']"
Medium,77,Combinations,Algorithms,72.69733743,['Backtracking']
Medium,78,Subsets,Algorithms,80.66235761,"['Array', 'Backtracking', 'Bit Manipulation']"
Medium,79,Word Search,Algorithms,45.04898534,"['Array', 'String', 'Backtracking', 'Depth-First Search', 'Matrix']"
Medium,80,Remove Duplicates from Sorted Array II,Algorithms,62.71870316,"['Array', 'Two Pointers']"
Medium,81,Search in Rotated Sorted Array II,Algorithms,38.79111912,"['Array', 'Binary Search']"
Medium,82,Remove Duplicates from Sorted List II,Algorithms,49.70581249,"['Linked List', 'Two Pointers']"
Easy,83,Remove Duplicates from Sorted List,Algorithms,54.70971395,['Linked List']
Hard,84,Largest Rectangle in Histogram,Algorithms,47.09459099,"['Array', 'Stack', 'Monotonic Stack']"
Hard,85,Maximal Rectangle,Algorithms,53.37823764,"['Array', 'Dynamic Programming', 'Stack', 'Matrix', 'Monotonic Stack']"
Medium,86,Partition List,Algorithms,58.78315405,"['Linked List', 'Two Pointers']"
Hard,87,Scramble String,Algorithms,42.03945932,"['String', 'Dynamic Programming']"
Easy,88,Merge Sorted Array,Algorithms,52.70439545,"['Array', 'Two Pointers', 'Sorting']"
Medium,89,Gray Code,Algorithms,61.65189276,"['Math', 'Backtracking', 'Bit Manipulation']"
Medium,90,Subsets II,Algorithms,59.28917657,"['Array', 'Backtracking', 'Bit Manipulation']"
Medium,91,Decode Ways,Algorithms,36.39558361,"['String', 'Dynamic Programming']"
Medium,92,Reverse Linked List II,Algorithms,49.43273758,['Linked List']
Medium,93,Restore IP Addresses,Algorithms,52.89732573,"['String', 'Backtracking']"
Easy,94,Binary Tree Inorder Traversal,Algorithms,78.39254127,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']"
Medium,95,Unique Binary Search Trees II,Algorithms,60.20474174,"['Dynamic Programming', 'Backtracking', 'Tree', 'Binary Search Tree', 'Binary Tree']"
Medium,96,Unique Binary Search Trees,Algorithms,62.35452794,"['Math', 'Dynamic Programming', 'Tree', 'Binary Search Tree', 'Binary Tree']"
Medium,97,Interleaving String,Algorithms,42.0289527,"['String', 'Dynamic Programming']"
Medium,98,Validate Binary Search Tree,Algorithms,34.25135635,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
Medium,99,Recover Binary Search Tree,Algorithms,55.99619523,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
Easy,100,Same Tree,Algorithms,64.89753287,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
Easy,101,Symmetric Tree,Algorithms,59.06521613,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
Medium,102,Binary Tree Level Order Traversal,Algorithms,70.33556427,"['Tree', 'Breadth-First Search', 'Binary Tree']"
Medium,103,Binary Tree Zigzag Level Order Traversal,Algorithms,61.44612378,"['Tree', 'Breadth-First Search', 'Binary Tree']"
Easy,104,Maximum Depth of Binary Tree,Algorithms,77.01293798,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
Medium,105,Construct Binary Tree from Preorder and Inorder Traversal,Algorithms,66.59871436,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']"
Medium,106,Construct Binary Tree from Inorder and Postorder Traversal,Algorithms,65.76414283,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']"
Medium,107,Binary Tree Level Order Traversal II,Algorithms,65.80389821,"['Tree', 'Breadth-First Search', 'Binary Tree']"
Easy,108,Convert Sorted Array to Binary Search Tree,Algorithms,73.91816343,"['Array', 'Divide and Conquer', 'Tree', 'Binary Search Tree', 'Binary Tree']"
Medium,109,Convert Sorted List to Binary Search Tree,Algorithms,64.2828494,"['Linked List', 'Divide and Conquer', 'Tree', 'Binary Search Tree', 'Binary Tree']"
Easy,110,Balanced Binary Tree,Algorithms,55.08700639,"['Tree', 'Depth-First Search', 'Binary Tree']"
Easy,111,Minimum Depth of Binary Tree,Algorithms,50.45012218,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
Easy,112,Path Sum,Algorithms,52.80950275,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
Medium,113,Path Sum II,Algorithms,60.33447592,"['Backtracking', 'Tree', 'Depth-First Search', 'Binary Tree']"
Medium,114,Flatten Binary Tree to Linked List,Algorithms,68.23024388,"['Linked List', 'Stack', 'Tree', 'Depth-First Search', 'Binary Tree']"
Hard,115,Distinct Subsequences,Algorithms,49.87629697,"['String', 'Dynamic Programming']"
Medium,116,Populating Next Right Pointers in Each Node,Algorithms,65.26072031,"['Linked List', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
Medium,117,Populating Next Right Pointers in Each Node II,Algorithms,55.36332951,"['Linked List', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
Easy,118,Pascal's Triangle,Algorithms,76.82287855,"['Array', 'Dynamic Programming']"
Easy,119,Pascal's Triangle II,Algorithms,65.80036742,"['Array', 'Dynamic Programming']"
Medium,120,Triangle,Algorithms,59.02941335,"['Array', 'Dynamic Programming']"
Easy,121,Best Time to Buy and Sell Stock,Algorithms,55.08560088,"['Array', 'Dynamic Programming']"
Medium,122,Best Time to Buy and Sell Stock II,Algorithms,69.29255345,"['Array', 'Dynamic Programming', 'Greedy']"
Hard,123,Best Time to Buy and Sell Stock III,Algorithms,50.75605709,"['Array', 'Dynamic Programming']"
Hard,124,Binary Tree Maximum Path Sum,Algorithms,41.12580759,"['Dynamic Programming', 'Tree', 'Depth-First Search', 'Binary Tree']"
Easy,125,Valid Palindrome,Algorithms,50.69565963,"['Two Pointers', 'String']"
Hard,126,Word Ladder II,Algorithms,27.15579985,"['Hash Table', 'String', 'Backtracking', 'Breadth-First Search']"
Hard,127,Word Ladder,Algorithms,42.48887717,"['Hash Table', 'String', 'Breadth-First Search']"
Medium,128,Longest Consecutive Sequence,Algorithms,47.06540991,"['Array', 'Hash Table', 'Union Find']"
Medium,129,Sum Root to Leaf Numbers,Algorithms,68.36082039,"['Tree', 'Depth-First Search', 'Binary Tree']"
Medium,130,Surrounded Regions,Algorithms,42.58953871,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']"
Medium,131,Palindrome Partitioning,Algorithms,71.84519341,"['String', 'Dynamic Programming', 'Backtracking']"
Hard,132,Palindrome Partitioning II,Algorithms,35.11206491,"['String', 'Dynamic Programming']"
Medium,133,Clone Graph,Algorithms,61.9962134,"['Hash Table', 'Depth-First Search', 'Breadth-First Search', 'Graph']"
Medium,134,Gas Station,Algorithms,46.24327232,"['Array', 'Greedy']"
Hard,135,Candy,Algorithms,44.68818582,"['Array', 'Greedy']"
Easy,136,Single Number,Algorithms,75.75928518,"['Array', 'Bit Manipulation']"
Medium,137,Single Number II,Algorithms,65.04369727,"['Array', 'Bit Manipulation']"
Medium,138,Copy List with Random Pointer,Algorithms,60.1991809,"['Hash Table', 'Linked List']"
Medium,139,Word Break,Algorithms,48.14569461,"['Array', 'Hash Table', 'String', 'Dynamic Programming', 'Trie', 'Memoization']"
Hard,140,Word Break II,Algorithms,53.42040486,"['Array', 'Hash Table', 'String', 'Dynamic Programming', 'Backtracking', 'Trie', 'Memoization']"
Easy,141,Linked List Cycle,Algorithms,52.37443034,"['Hash Table', 'Linked List', 'Two Pointers']"
Medium,142,Linked List Cycle II,Algorithms,54.57561748,"['Hash Table', 'Linked List', 'Two Pointers']"
Medium,143,Reorder List,Algorithms,62.20657798,"['Linked List', 'Two Pointers', 'Stack', 'Recursion']"
Easy,144,Binary Tree Preorder Traversal,Algorithms,72.90807894,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']"
Easy,145,Binary Tree Postorder Traversal,Algorithms,75.44344924,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']"
Medium,146,LRU Cache,Algorithms,44.96548188,"['Hash Table', 'Linked List', 'Design', 'Doubly-Linked List']"
Medium,147,Insertion Sort List,Algorithms,56.24482781,"['Linked List', 'Sorting']"
Medium,148,Sort List,Algorithms,61.47838512,"['Linked List', 'Two Pointers', 'Divide and Conquer', 'Sorting', 'Merge Sort']"
Hard,149,Max Points on a Line,Algorithms,28.7938746,"['Array', 'Hash Table', 'Math', 'Geometry']"
Medium,150,Evaluate Reverse Polish Notation,Algorithms,54.65822669,"['Array', 'Math', 'Stack']"
Medium,151,Reverse Words in a String,Algorithms,51.34901101,"['Two Pointers', 'String']"
Medium,152,Maximum Product Subarray,Algorithms,34.79505523,"['Array', 'Dynamic Programming']"
Medium,153,Find Minimum in Rotated Sorted Array,Algorithms,52.48146439,"['Array', 'Binary Search']"
Hard,154,Find Minimum in Rotated Sorted Array II,Algorithms,44.08704363,"['Array', 'Binary Search']"
Medium,155,Min Stack,Algorithms,56.25846861,"['Stack', 'Design']"
Medium,156,Binary Tree Upside Down,Algorithms,64.40587189,"['Tree', 'Depth-First Search', 'Binary Tree']"
Easy,157,Read N Characters Given Read4,Algorithms,42.20333081,"['Array', 'Simulation', 'Interactive']"
Hard,158,Read N Characters Given read4 II - Call Multiple Times,Algorithms,42.84943444,"['Array', 'Simulation', 'Interactive']"
Medium,159,Longest Substring with At Most Two Distinct Characters,Algorithms,56.33123177,"['Hash Table', 'String', 'Sliding Window']"
Easy,160,Intersection of Two Linked Lists,Algorithms,60.81279443,"['Hash Table', 'Linked List', 'Two Pointers']"
Medium,161,One Edit Distance,Algorithms,34.4673052,"['Two Pointers', 'String']"
Medium,162,Find Peak Element,Algorithms,46.47250077,"['Array', 'Binary Search']"
Easy,163,Missing Ranges,Algorithms,35.17903856,['Array']
Medium,164,Maximum Gap,Algorithms,49.12595297,"['Array', 'Sorting', 'Bucket Sort', 'Radix Sort']"
Medium,165,Compare Version Numbers,Algorithms,42.2118861,"['Two Pointers', 'String']"
Medium,166,Fraction to Recurring Decimal,Algorithms,26.12451242,"['Hash Table', 'Math', 'String']"
Medium,167,Two Sum II - Input Array Is Sorted,Algorithms,63.23028421,"['Array', 'Two Pointers', 'Binary Search']"
Easy,168,Excel Sheet Column Title,Algorithms,43.31689589,"['Math', 'String']"
Easy,169,Majority Element,Algorithms,65.66321329,"['Array', 'Hash Table', 'Divide and Conquer', 'Sorting', 'Counting']"
Easy,170,Two Sum III - Data structure design,Algorithms,38.64845487,"['Array', 'Hash Table', 'Two Pointers', 'Design', 'Data Stream']"
Easy,171,Excel Sheet Column Number,Algorithms,65.59480835,"['Math', 'String']"
Medium,172,Factorial Trailing Zeroes,Algorithms,44.72988539,['Math']
Medium,173,Binary Search Tree Iterator,Algorithms,74.64213853,"['Stack', 'Tree', 'Design', 'Binary Search Tree', 'Binary Tree', 'Iterator']"
Hard,174,Dungeon Game,Algorithms,39.37580536,"['Array', 'Dynamic Programming', 'Matrix']"
Easy,175,Combine Two Tables,Database,77.93557769,['Database']
Medium,176,Second Highest Salary,Database,43.56633235,['Database']
Medium,177,Nth Highest Salary,Database,37.92745985,['Database']
Medium,178,Rank Scores,Database,65.05270937,['Database']
Medium,179,Largest Number,Algorithms,41.13761258,"['Array', 'String', 'Greedy', 'Sorting']"
Medium,180,Consecutive Numbers,Database,45.88833534,['Database']
Easy,181,Employees Earning More Than Their Managers,Database,71.38412336,['Database']
Easy,182,Duplicate Emails,Database,72.33058743,['Database']
Easy,183,Customers Who Never Order,Database,70.5646723,['Database']
Medium,184,Department Highest Salary,Database,54.4800535,['Database']
Hard,185,Department Top Three Salaries,Database,57.46206297,['Database']
Medium,186,Reverse Words in a String II,Algorithms,55.97082542,"['Two Pointers', 'String']"
Medium,187,Repeated DNA Sequences,Algorithms,51.11702958,"['Hash Table', 'String', 'Bit Manipulation', 'Sliding Window', 'Rolling Hash', 'Hash Function']"
Hard,188,Best Time to Buy and Sell Stock IV,Algorithms,46.66557862,"['Array', 'Dynamic Programming']"
Medium,189,Rotate Array,Algorithms,42.8263607,"['Array', 'Math', 'Two Pointers']"
Easy,190,Reverse Bits,Algorithms,62.87848775,"['Divide and Conquer', 'Bit Manipulation']"
Easy,191,Number of 1 Bits,Algorithms,74.25910231,"['Divide and Conquer', 'Bit Manipulation']"
Medium,192,Word Frequency,Shell,27.11295462,['Shell']
Easy,193,Valid Phone Numbers,Shell,27.30284235,['Shell']
Medium,194,Transpose File,Shell,28.31597632,['Shell']
Easy,195,Tenth Line,Shell,34.43131533,['Shell']
Easy,196,Delete Duplicate Emails,Database,64.15613929,['Database']
Easy,197,Rising Temperature,Database,50.07424278,['Database']
Medium,198,House Robber,Algorithms,52.19996472,"['Array', 'Dynamic Programming']"
Medium,199,Binary Tree Right Side View,Algorithms,66.61680553,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
Medium,200,Number of Islands,Algorithms,62.09617867,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']"
Medium,201,Bitwise AND of Numbers Range,Algorithms,47.65435164,['Bit Manipulation']
Easy,202,Happy Number,Algorithms,57.90783163,"['Hash Table', 'Math', 'Two Pointers']"
Easy,203,Remove Linked List Elements,Algorithms,51.6731825,"['Linked List', 'Recursion']"
Medium,204,Count Primes,Algorithms,34.64775176,"['Array', 'Math', 'Enumeration', 'Number Theory']"
Easy,205,Isomorphic Strings,Algorithms,46.70215682,"['Hash Table', 'String']"
Easy,206,Reverse Linked List,Algorithms,79.02436399,"['Linked List', 'Recursion']"
Medium,207,Course Schedule,Algorithms,48.97071226,"['Depth-First Search', 'Breadth-First Search', 'Graph', 'Topological Sort']"
Medium,208,Implement Trie (Prefix Tree),Algorithms,67.72500607,"['Hash Table', 'String', 'Design', 'Trie']"
Medium,209,Minimum Size Subarray Sum,Algorithms,49.17706235,"['Array', 'Binary Search', 'Sliding Window', 'Prefix Sum']"
Medium,210,Course Schedule II,Algorithms,53.15596345,"['Depth-First Search', 'Breadth-First Search', 'Graph', 'Topological Sort']"
Medium,211,Design Add and Search Words Data Structure,Algorithms,46.89738354,"['String', 'Depth-First Search', 'Design', 'Trie']"
Hard,212,Word Search II,Algorithms,37.21671794,"['Array', 'String', 'Backtracking', 'Trie', 'Matrix']"
Medium,213,House Robber II,Algorithms,43.41619216,"['Array', 'Dynamic Programming']"
Hard,214,Shortest Palindrome,Algorithms,40.5548706,"['String', 'Rolling Hash', 'String Matching', 'Hash Function']"
Medium,215,Kth Largest Element in an Array,Algorithms,67.8475826,"['Array', 'Divide and Conquer', 'Sorting', 'Heap (Priority Queue)', 'Quickselect']"
Medium,216,Combination Sum III,Algorithms,71.69761128,"['Array', 'Backtracking']"
Easy,217,Contains Duplicate,Algorithms,63.09846007,"['Array', 'Hash Table', 'Sorting']"
Hard,218,The Skyline Problem,Algorithms,43.8604857,"['Array', 'Divide and Conquer', 'Binary Indexed Tree', 'Segment Tree', 'Line Sweep', 'Heap (Priority Queue)', 'Ordered Set']"
Easy,219,Contains Duplicate II,Algorithms,48.79264816,"['Array', 'Hash Table', 'Sliding Window']"
Hard,220,Contains Duplicate III,Algorithms,23.55822121,"['Array', 'Sliding Window', 'Sorting', 'Bucket Sort', 'Ordered Set']"
Medium,221,Maximal Square,Algorithms,48.5746458,"['Array', 'Dynamic Programming', 'Matrix']"
Easy,222,Count Complete Tree Nodes,Algorithms,69.60255039,"['Binary Search', 'Bit Manipulation', 'Tree', 'Binary Tree']"
Medium,223,Rectangle Area,Algorithms,47.24415302,"['Math', 'Geometry']"
Hard,224,Basic Calculator,Algorithms,45.37544738,"['Math', 'String', 'Stack', 'Recursion']"
Easy,225,Implement Stack using Queues,Algorithms,67.02444071,"['Stack', 'Design', 'Queue']"
Easy,226,Invert Binary Tree,Algorithms,78.88664327,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
Medium,227,Basic Calculator II,Algorithms,45.64939051,"['Math', 'String', 'Stack']"
Easy,228,Summary Ranges,Algorithms,52.9103712,['Array']
Medium,229,Majority Element II,Algorithms,54.12962479,"['Array', 'Hash Table', 'Sorting', 'Counting']"
Medium,230,Kth Smallest Element in a BST,Algorithms,75.11599606,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
Easy,231,Power of Two,Algorithms,48.32861743,"['Math', 'Bit Manipulation', 'Recursion']"
Easy,232,Implement Queue using Stacks,Algorithms,67.89042668,"['Stack', 'Design', 'Queue']"
Hard,233,Number of Digit One,Algorithms,35.86785181,"['Math', 'Dynamic Programming', 'Recursion']"
Easy,234,Palindrome Linked List,Algorithms,55.61585915,"['Linked List', 'Two Pointers', 'Stack', 'Recursion']"
Medium,235,Lowest Common Ancestor of a Binary Search Tree,Algorithms,68.01259856,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
Medium,236,Lowest Common Ancestor of a Binary Tree,Algorithms,66.40643172,"['Tree', 'Depth-First Search', 'Binary Tree']"
Medium,237,Delete Node in a Linked List,Algorithms,82.09646415,['Linked List']
Medium,238,Product of Array Except Self,Algorithms,67.63905709,"['Array', 'Prefix Sum']"
Hard,239,Sliding Window Maximum,Algorithms,47.48051353,"['Array', 'Queue', 'Sliding Window', 'Heap (Priority Queue)', 'Monotonic Queue']"
Medium,240,Search a 2D Matrix II,Algorithms,54.9762078,"['Array', 'Binary Search', 'Divide and Conquer', 'Matrix']"
Medium,241,Different Ways to Add Parentheses,Algorithms,72.26778071,"['Math', 'String', 'Dynamic Programming', 'Recursion', 'Memoization']"
Easy,242,Valid Anagram,Algorithms,66.48923582,"['Hash Table', 'String', 'Sorting']"
Easy,243,Shortest Word Distance,Algorithms,65.91965585,"['Array', 'String']"
Medium,244,Shortest Word Distance II,Algorithms,62.08140287,"['Array', 'Hash Table', 'Two Pointers', 'String', 'Design']"
Medium,245,Shortest Word Distance III,Algorithms,59.05368638,"['Array', 'String']"
Easy,246,Strobogrammatic Number,Algorithms,47.59248041,"['Hash Table', 'Two Pointers', 'String']"
Medium,247,Strobogrammatic Number II,Algorithms,53.14089693,"['Array', 'String', 'Recursion']"
Hard,248,Strobogrammatic Number III,Algorithms,42.4143446,"['Array', 'String', 'Recursion']"
Medium,249,Group Shifted Strings,Algorithms,67.28067717,"['Array', 'Hash Table', 'String']"
Medium,250,Count Univalue Subtrees,Algorithms,57.13444054,"['Tree', 'Depth-First Search', 'Binary Tree']"
Medium,251,Flatten 2D Vector,Algorithms,50.09286129,"['Array', 'Two Pointers', 'Design', 'Iterator']"
Easy,252,Meeting Rooms,Algorithms,58.9059915,"['Array', 'Sorting']"
Medium,253,Meeting Rooms II,Algorithms,52.08633187,"['Array', 'Two Pointers', 'Greedy', 'Sorting', 'Heap (Priority Queue)', 'Prefix Sum']"
Medium,254,Factor Combinations,Algorithms,50.21134299,['Backtracking']
Medium,255,Verify Preorder Sequence in Binary Search Tree,Algorithms,50.78721138,"['Array', 'Stack', 'Tree', 'Binary Search Tree', 'Recursion', 'Monotonic Stack', 'Binary Tree']"
Medium,256,Paint House,Algorithms,63.65257295,"['Array', 'Dynamic Programming']"
Easy,257,Binary Tree Paths,Algorithms,66.30133866,"['String', 'Backtracking', 'Tree', 'Depth-First Search', 'Binary Tree']"
Easy,258,Add Digits,Algorithms,67.8203294,"['Math', 'Simulation', 'Number Theory']"
Medium,259,3Sum Smaller,Algorithms,50.97453235,"['Array', 'Two Pointers', 'Binary Search', 'Sorting']"
Medium,260,Single Number III,Algorithms,70.66416701,"['Array', 'Bit Manipulation']"
Medium,261,Graph Valid Tree,Algorithms,49.25547074,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']"
Hard,262,Trips and Users,Database,37.05966772,['Database']
Easy,263,Ugly Number,Algorithms,42.29930047,['Math']
Medium,264,Ugly Number II,Algorithms,49.21745133,"['Hash Table', 'Math', 'Dynamic Programming', 'Heap (Priority Queue)']"
Hard,265,Paint House II,Algorithms,56.31628788,"['Array', 'Dynamic Programming']"
Easy,266,Palindrome Permutation,Algorithms,68.47623655,"['Hash Table', 'String', 'Bit Manipulation']"
Medium,267,Palindrome Permutation II,Algorithms,42.0967705,"['Hash Table', 'String', 'Backtracking']"
Easy,268,Missing Number,Algorithms,69.82003413,"['Array', 'Hash Table', 'Math', 'Binary Search', 'Bit Manipulation', 'Sorting']"
Hard,269,Alien Dictionary,Algorithms,36.60223472,"['Array', 'String', 'Depth-First Search', 'Breadth-First Search', 'Graph', 'Topological Sort']"
Easy,270,Closest Binary Search Tree Value,Algorithms,49.86784194,"['Binary Search', 'Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
Medium,271,Encode and Decode Strings,Algorithms,49.46997358,"['Array', 'String', 'Design']"
